formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom)
CaBPd3,5,Ca1 B1 Pd3,4.27841036,4.27843393,4.27842164,90.0,90.0,90.0,cubic,Pm-3m,2.8e-05,-17.20711354,-0.553911794,0.0,7.848286142,0.0,False,78.31606338
CaBiO3,20,Ca1 Bi1 O3,5.75831054,6.02554523,8.330347024,90.0,90.10598141,90.0,mono,P2_1/c,0.0,-6.412126172,-2.264222731,0.0,6.826443674,0.6653,False,289.0372281
CaCO3,10,Ca1 C1 O3,6.358447833,6.358447249,6.35844589,46.37140907,46.3714226,46.37141314,trig,R-3c,0.0,-7.903637566,-2.688007889,0.0,2.703519701,4.9995,False,122.9495072
CaFeO3,20,Ca1 Fe1 O3,5.29247074,5.32339252,7.48776665,90.00018674,89.99978053,89.99997506,ortho,Pnma,15.5379632,-7.292419852,-2.228519031,0.0,4.531422983,0.0,False,210.9595825
CaGa3Pt,5,Ca1 Ga3 Pt1,6.188460025,6.188460025,6.188460025,140.1066656,140.1066656,57.69137786,tet,I4mm,0.0,-4.086931,-0.654726746,0.0,7.634904639,0.0,False,96.63892594
CaGaAu3,40,Ca1 Ga1 Au3,9.193679421,9.19358456,9.19355357,89.99964078,90.00072392,89.99886314,cubic,Pa-3,1e-07,-34.66925953,-0.622069514,0.0,11.97881888,0.0,False,777.0655254
CaGeO3,30,Ca1 Ge1 O3,7.314616387,7.557449301,8.147430831,103.4819701,94.72958118,90.10958549,tri,P-1,0.0,-7.044484095,-2.749981945,0.0,3.669381308,3.4813,False,436.382332
CaH3Pd,5,Ca1 H3 Pd1,3.70671619,3.70671619,3.70671619,90.0,90.0,90.0,cubic,Pm-3m,7.2e-06,-8.642100878,-0.569283975,0.0,4.875124009,0.0,False,50.92933492
CaHfO3,20,Ca1 Hf1 O3,5.54646636,5.72177289,7.94978423,90.0,90.0,90.0,ortho,Pnma,0.0,-9.182272448,-3.820938063,0.0,7.017975204,4.4855,True,252.2913382
CaInBr3,10,Ca1 In1 Br3,4.26679345,7.372794095,10.88832447,90.0,90.0,106.8196805,ortho,Cmcm,0.0,-3.759740196,-1.82461755,0.0,3.997038781,3.136,False,327.8737264
CaIrO3,10,Ca1 Ir1 O3,3.182001621,5.150852811,7.32723054,89.99995359,89.99999425,107.9952983,ortho,Cmcm,2.0033388,-7.239532932,-2.101949517,0.0,8.149939013,0.0,False,114.2187219
CaMoN3,10,Ca1 Mo1 N3,3.704049496,6.379600389,6.404047547,104.0936233,106.8098229,90.00000429,mono,C2/m,0.0,-8.365483229,-0.792266584,0.0,4.22045319,0.8726,False,140.0983293
CaMoO3,20,Ca1 Mo1 O3,5.526326,5.750526,7.915666603,89.38257035,90.0,90.0,mono,P2_1/c,8.0000755,-8.158404337,-2.619377736,0.0,4.859133129,1.105,True,251.5395902
CaNiH3,5,Ca1 Ni1 H3,3.50426521,3.50426521,3.50426521,90.0,90.0,90.0,cubic,Pm-3m,1e-07,-4.15538169,-0.561134515,0.0,3.928127553,0.0,False,43.03193756
CaPS3,20,Ca1 P1 S3,6.579950775,7.32515142,9.213030585,90.0,92.03948297,90.0,mono,P2_1/c,0.0,-9.265458472,-1.23638502,0.0,2.503227022,3.0848,True,443.7788177
CaPSe3,20,Ca1 P1 Se3,6.909170598,7.58328821,9.685920495,90.0,92.02960714,90.0,mono,P2_1/c,0.0,-12.84699504,-1.051984898,0.0,4.032846887,2.1335,False,507.1679982
CaReN3,20,Ca1 Re1 N3,7.343440263,7.343440263,6.214030245,75.07436504,75.07436504,83.70051548,mono,C2/c,0.0,-8.6288227,-0.735113235,0.0,5.702247562,1.8813,False,312.5301702
