formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom)
Cs3BrO,10,Cs3 Br1 O1,7.841265711,7.841265711,7.12849225,90.0,90.0,119.9999987,hex_,P6_3/mmc,0.0,-3.409331851,-1.553112871,0.0,4.327627694,1.5515,False,379.5776742
Cs3IO,10,Cs3 I1 O1,8.115433731,8.115433731,7.2073345,90.0,90.0,120.0000019,hex_,P6_3/mmc,0.0,-3.290399019,-1.456766823,0.0,4.375676369,1.5285,True,411.082296
CsAgBr3,5,Cs1 Ag1 Br3,5.497825,5.494482,5.494832419,89.94623729,90.0,90.0,ortho,Amm2,0.0047664,-2.9694168,-1.238915519,0.0,4.806817055,0.0,False,165.9861789
CsAgCl3,10,Cs1 Ag1 Cl3,7.26308157,7.26308194,7.367583412,119.5239302,119.5239311,90.01406476,tet,I4/mmm,4e-07,-14.24546407,-1.262984392,0.0,4.136571189,0.0,False,278.6981311
CsAgF3,10,Cs1 Ag1 F3,6.253492187,6.25349198,6.253492716,91.29504521,119.255156,119.2551389,tet,I4/mcm,6.49e-05,-13.23150615,-2.066297088,0.0,5.656703749,0.0,False,174.8215389
CsAlTe3,20,Cs1 Al1 Te3,14.12703173,7.28206706,8.296571453,76.08096223,90.0,90.0,mono,P2_1/c,0.0,-22.42296506,-0.806369902,0.0,4.35108513,1.3209,False,828.4397309
CsAsO3,20,Cs1 As1 O3,5.33191898,6.05643105,11.77973995,90.0,90.0,90.0,ortho,Pbcm,0.0,-5.973052514,-1.890505581,0.0,4.467005398,2.8702,False,380.3960704
CsAuBr3,10,Cs1 Au1 Br3,7.810130999,7.810131921,7.958570721,119.384907,119.3849062,89.99999244,tet,I4/mmm,0.0,-3.037363019,-1.220672874,0.0,5.41153036,0.653,False,349.5560241
CsAuCl3,10,Cs1 Au1 Cl3,7.46498905,7.464989609,7.615689598,119.3475383,119.347547,90.00000305,tet,I4/mmm,0.0,-20.02434803,-1.196051755,0.0,4.735835795,0.5386,False,305.9137536
CsAuI3,10,Cs1 Au1 I3,8.39381681,8.393815879,8.526452143,119.4867412,119.4867451,89.9999958,tet,I4/mmm,0.0,-2.696688998,-0.947759205,0.0,5.471687383,0.7337,True,431.2946942
CsAuSe3,10,Cs1 Au1 Se3,6.592005256,7.695256202,7.732700027,81.02189656,68.63364999,64.64449123,mono,C2/c,0.0,-24.30635254,-0.582583462,0.0,5.70185069,1.0527,False,330.1082133
CsBSe3,20,Cs1 B1 Se3,6.206779423,7.702960693,12.95795499,90.0,90.0,106.8241571,mono,P2_1/c,0.0,-4.469022845,-0.85585178,0.0,4.262965177,1.7167,False,593.0100301
CsBaI3,20,Cs1 Ba1 I3,5.27736676,10.58078051,18.51071733,90.0,90.0,90.0,ortho,Pnma,0.0,-3.402267388,-1.924319006,0.0,4.183075736,3.6259,True,1033.613639
CsBeF3,20,Cs1 Be1 F3,4.84401504,6.00417243,12.51777016,90.0,90.0,90.0,ortho,Pnma,0.0,-5.481874888,-3.40735911,0.0,3.628994437,6.6443,False,364.0706021
CsBeH3,10,Cs1 Be1 H3,5.070669727,5.91286537,7.806349522,90.0,108.863848,90.0,mono,P2_1/m,0.0,-3.170810747,-0.206082487,0.0,2.173383439,3.2298,False,221.4804274
CsBrO3,5,Cs1 Br1 O3,4.639254737,4.639254476,4.639254038,88.72505696,88.72504892,88.72505622,trig,R3m,2.2e-06,-4.536734756,-1.060823022,0.0,4.340530526,4.1681,True,99.77612006
CsCaBr3,5,Cs1 Ca1 Br3,5.70866573,5.70866573,5.70866573,90.0,90.0,90.0,cubic,Pm-3m,0.0,-3.86891267,-2.305878949,0.0,3.683620991,4.3923,False,186.0389335
CsCaCl3,10,Cs1 Ca1 Cl3,7.667754568,7.667754568,7.667754568,120.3564945,120.3564945,89.38363448,tet,I4/mcm,0.0,-12.65523278,-2.536269789,0.0,2.926173996,5.2834,False,317.0413345
CsCaF3,5,Cs1 Ca1 F3,4.52053103,4.52053103,4.52053103,90.0,90.0,90.0,cubic,Pm-3m,0.0,-12.02079677,-3.719104391,0.0,4.133979088,6.9005,False,92.37795929
CsCaI3,20,Cs1 Ca1 I3,4.72814982,10.71713597,17.79891735,90.0,90.0,90.0,ortho,Pnma,0.0,-3.338127447,-1.842854078,0.0,4.077721813,3.8335,True,901.9107359
CsCdBr3,10,Cs1 Cd1 Br3,7.75054773,7.750548518,6.75925007,90.0,90.0,120.0000011,hex_,P6_3/mmc,0.0,-2.941244357,-1.587328574,0.0,4.580916049,2.901,True,351.6365217
CsCdCl3,30,Cs1 Cd1 Cl3,7.466469158,7.466416524,18.57527651,90.0000612,89.99979472,119.9998571,hex_,P6_3/mmc,0.0,-14.43802319,-1.7057214,0.0,3.907044594,2.4918,True,896.796767
CsCdF3,5,Cs1 Cd1 F3,4.48681068,4.48681068,4.48681068,90.0,90.0,90.0,cubic,Pm-3m,0.0,-13.61419207,-2.699160898,0.0,5.557644493,3.2859,False,90.32609495
CsCoCl3,10,Cs1 Co1 Cl3,7.256539238,7.256705054,5.987522457,90.00539652,89.99469254,120.0071627,hex_,P6_3/mmc,6.0000001,-12.87491989,-1.516769419,0.0,3.627169502,0.0,False,273.0331968
CsCrCl3,10,Cs1 Cr1 Cl3,6.259593661,7.25528116,7.290849812,119.8385769,88.50767167,89.99987157,mono,C2/m,8.0000005,-13.44975245,-1.723779723,0.0,3.369328061,0.1533,False,287.0896014
CsCuBr3,20,Cs1 Cu1 Br3,7.469930645,7.469930645,12.73041553,90.0,90.0,117.9697667,ortho,C222_1,0.0,-3.233106413,-1.251351334,0.0,4.617702428,0.3736,False,627.3825242
CsCuCl3,30,Cs1 Cu1 Cl3,7.283517815,7.282651012,18.18519688,89.99983664,89.99982198,119.9995444,hex_,P6_122,6.0000003,-12.21473726,-1.334073815,0.0,3.61151889,0.5494,True,835.3747005
Ti3SnH,5,Ti3 Sn1 H1,4.16614803,4.16665784,4.16499926,90.0,90.0,90.0,cubic,Pm-3m,1.168275,-13.83689028,-0.433976838,0.0,6.047748629,0.0,False,72.29986126
Ti3ZnN,10,Ti3 Zn1 N1,5.538218553,5.538218553,8.29981295,90.0,90.0,147.8391702,ortho,Cmcm,1e-07,-7.628054908,-0.971155427,0.0,5.465796293,0.0,False,135.5074075
TiCdO3,10,Ti1 Cd1 O3,5.823052726,5.823053588,5.823052171,53.69843079,53.69841846,53.69841719,trig,R-3,0.0,-7.411338015,-2.671460971,0.0,5.810462307,2.9057,False,119.0441478
TiFeO3,20,Ti1 Fe1 O3,5.130769391,5.554206937,8.954461721,106.2221753,89.46683158,115.5815896,tri,P-1,4e-07,-8.971592041,-2.729712793,0.0,4.597795231,2.2487,False,219.1665363
TiGeS3,20,Ti1 Ge1 S3,3.47928158,9.11405508,13.69769828,90.0,90.0,90.0,ortho,Pnma,0.0,-6.167187987,-1.180468272,0.0,3.313776287,0.3237,False,434.3589979
TiMnO3,10,Ti1 Mn1 O3,5.575393352,5.575393558,5.575393013,54.84196489,54.84195498,54.84195199,trig,R-3,10.0000004,-9.334882121,-2.954604056,0.0,4.644506556,2.0049,False,107.8326305
TiNiO3,10,Ti1 Ni1 O3,5.41866629,5.418698845,5.418672895,55.29147001,55.29143615,55.29128464,trig,R-3,4.0000001,-8.300620009,-2.596717667,0.0,5.123127762,0.0,False,100.1929311
TiPN3,20,Ti1 P1 N3,6.369055156,6.369055156,4.960984612,81.45446686,81.45446686,85.57015415,mono,C2/c,0.0,-10.92226674,-1.057049673,0.0,4.085692905,0.5396,False,196.4848437
TiPbO3,5,Ti1 Pb1 O3,3.8795519,3.8795519,4.28588762,90.0,90.0,90.0,tet,P4mm,0.0,-8.020994206,-2.730589786,0.0,7.801556472,1.813,False,64.50656432
TiVO3,10,Ti1 V1 O3,5.04364651,5.541768605,5.043644669,117.0682451,120.0011923,62.93141434,trig,R3c,6.0,-9.394272778,-3.029616558,0.0,4.69376623,0.0,False,103.8732006
TlBSe3,10,Tl1 B1 Se3,6.207316083,7.171495639,7.161215721,109.1490773,103.5047887,113.4766758,mono,Cc,0.0,-20.98971688,-0.297648989,0.0,5.990317227,0.9154,False,250.6334832
TlCdCl3,20,Tl1 Cd1 Cl3,3.97942577,9.0244099,14.90375801,90.0,90.0,90.0,ortho,Pnma,0.0,-3.209719188,-1.434300731,0.0,5.251360211,3.2976,False,535.2233003
TlCdF3,40,Tl1 Cd1 F3,6.16844095,8.7315402,12.59989595,90.0,90.0,90.0,ortho,Pbam,0.0,-18.76288693,-2.231835745,0.0,7.316998483,3.9371,True,678.6302715
TlGeBr3,20,Tl1 Ge1 Br3,4.18124614,9.50260894,15.54896534,90.0,90.0,90.0,ortho,Pnma,0.0,-3.40783439,-1.026766475,0.0,5.555550922,2.2566,False,617.8031052
TlGeCl3,10,Tl1 Ge1 Cl3,7.195688,5.743545,8.347123342,70.25346803,90.0,90.0,mono,P2_1/m,6.59e-05,-3.792086486,-1.284064496,0.0,3.921404834,3.3207,False,324.6904176
TlHPd3,5,Tl1 H1 Pd3,4.09795544,4.09795544,4.09795544,90.0,90.0,90.0,cubic,Pm-3m,3e-07,-25.37785356,-0.274698002,0.0,12.65954527,0.0,False,68.81794425
TlHgCl3,20,Tl1 Hg1 Cl3,4.36965245,9.24800615,14.07342645,90.0,90.0,90.0,ortho,Pnma,0.0,-2.787549608,-1.142198781,0.0,5.971967872,2.671,False,568.7152231
TlHgF3,40,Tl1 Hg1 F3,6.20059644,8.82826901,13.07913115,90.0,90.0,90.0,ortho,Pbam,0.0,-24.08524523,-1.70163028,0.0,8.571632395,2.3394,True,715.9586155
TlIO3,5,Tl1 I1 O3,4.504218648,4.504218742,4.50421841,88.77705877,88.77706451,88.7770726,trig,R3m,0.0,-4.716762884,-0.968889335,0.0,6.89684091,2.7633,False,91.31995052
TlNO3,40,Tl1 N1 O3,6.18047927,7.91332221,12.19729243,90.0,90.0,90.0,ortho,Pnma,0.0,-6.098233439,-0.987506864,0.0,5.932115907,2.8457,False,596.5466891
TlPO3,40,Tl1 P1 O3,7.58522238,7.58522238,11.10122861,90.0,90.0,90.0,tet,P-42_1c,0.0,-6.783894437,-2.257728706,0.0,5.893356114,3.6726,True,638.7158328
TlPS3,10,Tl1 P1 S3,6.980750494,6.999774902,6.999774611,70.36205725,60.08985662,60.08986157,ortho,Immm,0.0,-4.665118756,-0.624713887,0.0,4.313946314,1.7362,False,255.2443222
TlPdF3,5,Tl1 Pd1 F3,4.27132955,4.271401243,4.272203517,89.54619825,89.95402999,89.78202819,cubic,Pm-3m,2.11e-05,-18.69623311,-1.594088746,0.0,7.835930471,0.0,False,77.94145138
TlSbO3,20,Tl1 Sb1 O3,5.33070696,5.330706616,14.72638829,90.0,90.0,120.0000021,trig,P-31c,0.0,-5.981538722,-1.712667448,0.0,6.857226772,2.4365,True,362.4069017
TlSnF3,40,Tl1 Sn1 F3,10.34000475,10.34000475,8.183366199,72.42183243,72.42183243,81.39369261,mono,Cc,0.0,-19.67674249,-2.217452096,0.0,6.363346285,2.8207,False,793.4841709
TlSnI3,10,Tl1 Sn1 I3,7.890112575,7.890112575,11.79080057,90.0,90.0,146.0255723,ortho,Cmcm,0.0,-2.996075997,-0.805459634,0.0,5.698343986,1.8624,False,410.1888339
TlZnF3,5,Tl1 Zn1 F3,4.124461556,4.115024681,4.117341669,89.97427478,89.9641359,89.98168307,cubic,Pm-3m,0.0,-16.62163937,-2.32946521,0.0,7.765297258,3.9179,False,69.88057355
Tm3AlN,5,Tm3 Al1 N1,4.65734774,4.65734774,4.65734774,90.0,90.0,90.0,cubic,Pm-3m,2.77e-05,-25.36973389,-1.124935118,0.0,9.004257142,0.0,False,101.0220081
Tm3InN,5,Tm3 In1 N1,4.70132412,4.70132412,4.70132412,90.0,90.0,90.0,cubic,Pm-3m,7.4e-06,-28.63813744,-1.224040254,0.0,10.15759936,0.0,False,103.9107742
Tm3PbC,5,Tm3 Pb1 C1,4.80484245,4.80484245,4.80484245,90.0,90.0,90.0,cubic,Pm-3m,1e-06,-5.836256006,-0.558492606,0.0,10.86816534,0.0,False,110.9270479
TmBRh3,5,Tm1 B1 Rh3,4.15099888,4.15099888,4.15099888,90.0,90.0,90.0,cubic,Pm-3m,0.0025981,-7.473258072,-0.8222947,0.0,11.34022769,0.0,False,71.52499706
TmCrO3,20,Tm1 Cr1 O3,5.16618224,5.50964451,7.48369507,90.0,90.0,90.0,ortho,Pnma,11.9999998,-9.043294906,-3.247408514,0.0,8.385646497,2.6809,False,213.0146064
TmGa3Os,15,Tm1 Ga3 Os1,6.34071476,6.34071476,6.34071476,90.0,90.0,90.0,cubic,Pm-3m,9.3e-06,-25.04395881,-0.557037808,0.0,11.10602729,0.0,False,254.9263043
TmGa3Ru,15,Tm1 Ga3 Ru1,6.3337215,6.3337215,6.3337215,90.0,90.0,90.0,cubic,Pm-3m,3.4e-06,-5.147045222,-0.578806804,0.0,9.394766534,0.0,False,254.0837493
TmMnO3,30,Tm1 Mn1 O3,6.053196567,6.053196567,11.35090639,90.0000004,90.00000095,119.999872,hex_,P6_3cm,23.9999996,-8.795841926,-3.098161969,0.0,7.52022914,0.0,False,360.1896989
TmRh3C,5,Tm1 Rh3 C1,4.12603139,4.12603139,4.12603139,90.0,90.0,90.0,cubic,Pm-3m,7e-07,-7.69951597,-0.538697854,0.0,11.57570347,0.0,False,70.24211553
TmRhO3,20,Tm1 Rh1 O3,5.17444652,5.70187168,7.51159096,90.0,90.0,90.0,ortho,Pnma,0.0,-7.946072353,-2.60793388,0.0,9.585742424,0.9565,True,221.6222056
TmRu3C,5,Tm1 Ru3 C1,4.11425196,4.11425196,4.11425196,90.0,90.0,90.0,cubic,Pm-3m,1.05e-05,-8.56665041,-0.259775492,0.0,11.54411871,0.0,False,69.64222759
TmVO3,20,Tm1 V1 O3,5.19087594,5.62773952,7.48654988,90.0,90.0,90.0,ortho,Pnma,8.0000001,-9.002079601,-3.320021488,0.0,8.135479326,0.0,False,218.7038156
UPdSe3,20,U1 Pd1 Se3,6.45456131,8.0767433,8.69590661,90.0,90.0,90.0,ortho,Pnma,8.00609,-6.492053684,-1.100248433,0.0,8.517519425,0.0,False,453.333567
UReB3,10,U1 Re1 B3,5.059883059,5.059880972,5.10709883,90.00011131,90.00000027,120.000067,hex_,P6_3/mmc,0.0055166,-9.309563073,-0.554023167,0.0,13.39353318,0.0,False,113.2362246
USi3Ir,5,U1 Si3 Ir1,5.728770592,5.728770592,5.728770592,137.2992147,137.2992147,61.97799715,tet,I4mm,2.7047761,-7.845220876,-0.56406122,0.0,9.997823976,0.0,False,85.4537301
UTlO3,5,U1 Tl1 O3,4.32518333,4.32517519,4.32544057,90.0,90.0,90.0,cubic,Pm-3m,1.0,-8.640130126,-2.938777098,0.0,10.06399019,0.2736,True,80.91677642
V3AsC,10,V3 As1 C1,3.13948863,5.247661431,7.651175,90.0,90.0,107.4054864,ortho,Cmcm,5e-07,-8.744546,-0.514444753,0.0,6.61991536,0.0,False,120.281155
V3GaN,10,V3 Ga1 N1,5.275322741,5.275322679,7.82878079,89.98759937,90.01240143,147.2457864,ortho,Cmcm,0.0001417,-8.473873032,-0.750254637,0.0,6.664861821,0.0,False,117.8741588
V3GeC,10,V3 Ge1 C1,3.06517977,5.200238961,7.8319491,90.0,90.0,107.1404652,ortho,Cmcm,1e-07,-8.69376434,-0.473082029,0.0,6.611178355,0.0,False,119.2939672
V3GeN,10,V3 Ge1 N1,5.232297542,5.232297542,7.746992116,89.97949104,90.02050896,146.3264657,ortho,Cmcm,1.4e-06,-8.835094886,-0.792490124,0.0,6.76307422,0.0,False,117.5948304
VAgO3,20,V1 Ag1 O3,9.169970889,9.169970889,8.00754944,75.7563749,75.7563749,22.45148104,mono,Cm,0.0,-7.109101783,-1.75495643,0.0,5.518261983,1.6283,False,248.9280852
VBO3,10,V1 B1 O3,5.522130316,5.522130651,5.52212972,49.5677236,49.56773593,49.56773785,trig,R-3c,4.0,-8.848075437,-2.726639266,0.0,4.063605841,1.8747,False,89.69635939
VCdO3,20,V1 Cd1 O3,3.58967774,5.26484532,14.28396924,90.0,90.0,90.0,ortho,Pnma,4.0000007,-7.049248041,-2.071688186,0.0,5.200232904,0.0,False,269.9541352
VCoB3,10,V1 Co1 B3,2.96576088,2.992652716,8.823090284,99.76409259,90.0,90.0,ortho,Cmcm,1e-07,-7.861651258,-0.610551638,0.0,6.123945772,0.0,False,77.17491168
VOF3,20,V1 O1 F3,5.06642859,5.574411463,9.3150732,91.01902994,90.0,90.0,mono,P2_1/c,0.0,-6.667337564,-2.714076768,0.0,3.129597025,3.6563,False,263.0380207
WNCl3,20,W1 N1 Cl3,8.124419915,8.263463251,9.193290534,97.92750325,107.3718253,110.7674543,tri,P-1,0.0,-16.64867062,-0.85789827,0.0,3.813683736,1.8151,False,529.8241638
WOF3,20,W1 O1 F3,5.54778935,4.97041236,9.16448092,90.0,90.0,90.0,ortho,P2_12_12_1,3.9980532,-7.340028386,-2.611922758,0.0,6.750600089,2.4411,True,252.7087354
Y3AlC,5,Y3 Al1 C1,4.88638886,4.88638886,4.88638886,90.0,90.0,90.0,cubic,Pm-3m,5.4e-06,-6.8927995,-0.392496336,0.0,4.351052929,0.0,False,116.6713104
Y3GaC,5,Y3 Ga1 C1,4.85428524,4.85428317,4.85429039,90.0,90.0,90.0,cubic,Pm-3m,6.3e-06,-6.809426208,-0.452619005,0.0,5.058421008,0.0,False,114.3868635
Y3InC,5,Y3 In1 C1,4.91830942,4.91830942,4.91830942,90.0,90.0,90.0,cubic,Pm-3m,7.8e-06,-6.807992866,-0.504970119,0.0,5.492844864,0.0,False,118.9727616
Y3PbC,5,Y3 Pb1 C1,4.9095349,4.9095349,4.9095349,90.0,90.0,90.0,cubic,Pm-3m,6.07e-05,-7.03818125,-0.544463837,0.0,6.818678134,0.0,False,118.3371362
Y3SnC,5,Y3 Sn1 C1,4.88691003,4.88691003,4.8869276,90.0,90.0,90.0,cubic,Pm-3m,1.52e-05,-7.185252328,-0.632149959,0.0,5.654759869,0.0,False,116.7090656
Y3TlC,5,Y3 Tl1 C1,4.90973176,4.90973176,4.90973176,90.0,90.0,90.0,cubic,Pm-3m,1.38e-05,-6.6874769,-0.461994478,0.0,6.778338013,0.0,False,118.3513718
YAl3Ni,20,Y1 Al3 Ni1,4.02710599,8.10956377,10.60833375,90.0,90.0,90.0,ortho,Pnma,8.8e-06,-5.295738009,-0.590546875,0.0,4.381682752,0.0,False,346.4477363
YBO3,30,Y1 B1 O3,6.54242982,6.54242982,8.82893208,90.0,90.0,120.0812712,ortho,Cmcm,0.0,-9.12873291,-3.522259653,0.0,4.500537513,5.1696,False,327.0097546
YBRh3,5,Y1 B1 Rh3,4.17882149,4.17882149,4.17882149,90.0,90.0,90.0,cubic,Pm-3m,0.0038927,-7.821756422,-0.765475046,0.0,9.294131987,0.0,False,72.97287522
YCrO3,20,Y1 Cr1 O3,5.24543586,5.5395879,7.54985526,89.99998068,90.00033939,89.99999979,ortho,Pnma,12.0000009,-9.392217048,-3.191012651,0.0,5.719311185,2.4831,False,219.3803195
YGa3Ru,15,Y1 Ga3 Ru1,6.3892472,6.3892472,6.3892472,90.0,90.0,90.0,cubic,Pm-3m,6e-07,-5.553980832,-0.58042441,0.0,7.623454426,0.0,False,260.8249146
YMnO3,30,Y1 Mn1 O3,6.137989787,6.137990098,11.44042308,90.00000087,89.99999817,119.9993851,hex_,P6_3cm,24.0000002,-9.130481213,-3.027483252,0.0,5.120548728,0.0,False,373.2740106
YMoN3,20,Y1 Mo1 N3,6.210994478,7.217226452,7.217225407,98.60305958,105.7173708,74.2826227,mono,C2/c,0.0,-9.56675606,-1.092841091,0.0,5.043707675,1.9089,False,298.7641609
YNiGe3,10,Y1 Ni1 Ge3,4.06618076,4.08783135,10.94461726,90.0,100.7055416,90.0,ortho,Cmmm,0.0,-5.802276762,-0.570614413,0.0,6.79101423,0.0,False,178.7535628
YNiO3,20,Y1 Ni1 O3,5.1637085,5.5062684,7.38760105,90.0,90.0,90.0,ortho,Pnma,3.9999993,-7.892334481,-2.465712242,0.0,6.185143049,0.0,False,210.0499241
YReN3,20,Y1 Re1 N3,5.3829449,5.59557393,7.68551211,90.0,90.0,90.0,ortho,Pnma,5.7e-06,-20.89996965,-0.877876111,0.0,9.099406619,0.0,False,231.4927444
YRh3C,5,Y1 Rh3 C1,4.15423783,4.15423783,4.15423783,90.0,90.0,90.0,cubic,Pm-3m,4e-07,-8.042441466,-0.476305346,0.0,9.487898233,0.0,False,71.69255675
YRhO3,20,Y1 Rh1 O3,5.22677739,5.75872435,7.58046239,90.0,90.0,90.0,ortho,Pnma,0.0,-8.290526322,-2.547069845,0.0,6.981031071,0.0001,True,228.1686601
YSeO3,40,Y1 Se1 O3,12.23956373,5.938537082,8.895160062,73.87316778,90.0,90.0,mono,P2_1/c,0.0,-7.469001202,-2.499224003,0.0,4.616952551,1.8369,False,621.1035251
YSi3Ir,5,Y1 Si3 Ir1,5.714082086,5.714082086,5.714082086,137.135692,137.135692,62.22933937,tet,I4mm,1e-07,-7.101415782,-0.776719828,0.0,7.112401625,0.0,False,85.30545895
YVO3,20,Y1 V1 O3,5.274392604,5.659848681,7.512776293,89.92957948,90.00384684,90.00254289,ortho,Pnma,7.9999996,-9.353054021,-3.265677904,0.0,5.563301518,0.0,False,224.2732113
YWN3,20,Y1 W1 N3,7.260720607,7.260720607,6.239089099,74.17254931,74.17254931,81.51557641,mono,C2/c,0.0,-21.03512514,-1.221595666,0.0,6.888864976,2.2798,False,303.4933381
ZnCO3,10,Zn1 C1 O3,5.660201746,5.660201979,5.660201416,48.55208898,48.55208757,48.55209382,trig,R-3c,0.0,-6.888936604,-1.822478181,0.0,4.456983342,3.5639,False,93.45393807
ZnNi3N,5,Zn1 Ni3 N1,3.72701343,3.72701343,3.72701343,90.0,90.0,90.0,cubic,Pm-3m,3.5e-06,-5.608231692,-0.220545413,0.0,8.195022677,0.0,False,51.77056123
ZnSeO3,40,Zn1 Se1 O3,6.21569912,7.21441768,12.01209078,90.0,90.0,90.0,ortho,Pbca,0.0,-5.422337314,-1.502429693,0.0,4.74416993,3.9227,False,538.6539781
Zr3AlN,10,Zr3 Al1 N1,3.36863777,6.016481369,8.99376521,90.0,90.0,106.2572745,ortho,Cmcm,9e-07,-17.93954996,-1.117505014,0.0,5.971793952,0.0,False,174.9911745
Zr3ZnN,10,Zr3 Zn1 N1,5.98226859,5.98226859,8.88907579,90.0,90.0,147.4366943,ortho,Cmcm,3.78e-05,-18.28788851,-1.030142711,0.0,6.848641575,0.0,False,171.2210848
ZrBRh3,5,Zr1 B1 Rh3,4.11326891,4.11326891,4.11325671,90.0,90.0,90.0,cubic,Pm-3m,1.36e-05,-21.30159559,-0.800629195,0.0,9.80095138,0.0,False,69.59211264
ZrCoH3,10,Zr1 Co1 H3,5.512663283,5.512663283,4.36913105,90.0,90.0,143.1796287,ortho,Cmcm,2.7128215,-5.667087547,-0.493764214,0.0,6.393162898,0.0,False,79.57346426
ZrNiH3,10,Zr1 Ni1 H3,3.508491179,4.29288545,5.52038354,90.0,108.5284559,90.0,ortho,Cmcm,0.0,-5.438467611,-0.535800286,0.0,6.442884518,0.0,False,78.8357668
ZrRu3C,5,Zr1 Ru3 C1,4.0755165,4.0755165,4.0755165,90.0,90.0,90.0,cubic,Pm-3m,4.1e-06,-9.44637781,-0.326463062,0.0,9.970170724,0.0,False,67.69365555
ZrSnS3,20,Zr1 Sn1 S3,3.74441614,9.44076215,14.08601102,90.0,90.0,90.0,ortho,Pnma,0.0,-6.391487313,-1.397017075,0.0,4.083517048,0.9944,False,497.9424921
CsEuBr3,20,Cs1 Eu1 Br3,8.16822568,8.39819241,11.78891638,90.0,90.0,90.0,ortho,Pnma,28.0000006,-5.513263593,-2.293727465,0.0,4.30858419,0.9374,True,808.6999869
CsEuCl3,20,Cs1 Eu1 Cl3,7.84786518,7.96416394,11.21136964,90.0,90.0,90.0,ortho,Pnma,28.0000005,-18.91738864,-2.501907845,0.0,3.708421784,0.0,True,700.7294922
CsFeCl3,10,Cs1 Fe1 Cl3,5.848597,7.500080164,7.50008,60.00000072,90.0,90.0,hex_,P6_3/mmc,8.0000004,-4.629992513,-1.647120451,0.0,3.439917916,0.0,False,284.9142252
CsGaS3,20,Cs1 Ga1 S3,6.467407468,7.65688873,12.64182486,90.0,90.0,107.6289284,mono,P2_1/c,0.0,-13.11770149,-0.98830594,0.0,3.326758497,2.6472,False,596.6264355
CsGaSe3,20,Cs1 Ga1 Se3,13.15157149,6.773097371,7.814851754,73.89929473,90.0,90.0,mono,P2_1/c,0.0,-16.83473256,-0.939400318,0.0,4.364842508,1.8736,False,668.817675
CsGeBr3,5,Cs1 Ge1 Br3,5.668240864,5.668240864,5.668241398,88.89687629,88.89687629,88.89686456,trig,R3m,0.0,-3.53509098,-1.448571664,0.0,4.062130258,0.7856,True,182.0146934
CsGeCl3,5,Cs1 Ge1 Cl3,5.461891124,5.461891124,5.461891073,89.54623145,89.54623145,89.54621701,trig,R3m,0.0,-3.92553261,-1.712059219,0.0,3.178939092,2.1535,False,162.9252755
CsGeI3,5,Cs1 Ge1 I3,8.706732698,6.128081833,6.065933978,92.17638737,135.8628261,86.96676119,trig,R3m,0.0,-3.090217248,-1.071458284,0.0,4.325382721,0.9905,True,225.0681168
CsHgCl3,45,Cs1 Hg1 Cl3,13.3873208,13.38700318,9.469666016,90.00155691,89.99357249,120.0001367,trig,P3_2,0.0,-2.905680173,-1.554877946,0.0,4.47258774,2.0,False,1469.744115
CsHgF3,5,Cs1 Hg1 F3,4.59544972,4.59544972,4.59544972,90.0,90.0,90.0,cubic,Pm-3m,0.0,-3.638687946,-2.250120334,0.0,6.681526474,0.7228,False,97.04743386
CsIO3,10,Cs1 I1 O3,4.669043714,6.601774174,6.61473721,90.0,90.0,89.99353567,ortho,Pmn2_1,0.0,-4.827901017,-1.374576067,0.0,5.013695697,3.0912,True,203.8924746
CsInBr3,10,Cs1 In1 Br3,8.145606524,8.145606524,8.145606524,60.0,60.0,60.0,cubic,Fm-3m,0.0,-3.261870632,-1.548122138,0.0,4.235853402,1.3782,False,382.1688494
CsInF3,10,Cs1 In1 F3,6.636698438,6.636698438,6.636698438,60.0,60.0,60.0,cubic,Fm-3m,0.0,-14.11761129,-2.707859579,0.0,4.895949053,3.0609,False,206.7003706
CsMgBr3,10,Cs1 Mg1 Br3,7.64834679,7.648346799,6.50988533,90.0,90.0,120.0000045,hex_,P6_3/mmc,0.0,-3.463099323,-1.975091575,0.0,3.997105991,4.0445,True,329.7912236
CsMgCl3,10,Cs1 Mg1 Cl3,7.29291267,7.292912737,6.18159097,90.0,90.0,119.9999997,hex_,P6_3/mmc,0.0,-3.930525774,-2.315563951,0.0,3.074264559,5.1261,True,284.7298034
CsMgH3,30,Cs1 Mg1 H3,6.11707186,8.52803537,9.95206766,90.0,90.0,90.0,ortho,Pmmn,0.0,-2.865838065,-0.322898375,0.0,3.075033588,2.9535,False,519.1655844
CsMgI3,10,Cs1 Mg1 I3,8.29721548,8.297214955,7.03483124,90.0,90.0,119.9999979,hex_,P6_3/mmc,0.0,-2.910670538,-1.490423142,0.0,4.259423944,3.152,False,419.4199024
CsMnBr3,10,Cs1 Mn1 Br3,7.65942696,7.659433697,6.5245266,90.0,90.0,120.0000287,hex_,P6_3/mmc,9.9999999,-4.563924619,-1.569607816,0.0,4.283503587,0.0,False,331.4915425
