mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-8401,CsMgF3,5,Cs1 Mg1 F3,4.252307,4.252307,4.252307,90.0,90.0,90.0,cubic,Pm-3m,1.74e-05,-11.15894824,-3.431053886,0.057630619,False,4.626006179,6.7028,True,76.89070343,62.499,36.041
mp-561851,CsNO3,45,Cs1 N1 O3,10.84690041,10.84480427,7.680832796,89.99256164,89.99247834,119.9923396,trig,P3_1,0.0,-6.232582091,-1.416404115,0.0,True,3.722431332,3.2965,False,782.5278762,-35006405.951,-1921637512.779
mp-22950,CsNiCl3,10,Cs1 Ni1 Cl3,7.20877398,7.208780297,5.94015344,90.00000375,90.00001846,120.0000326,hex_,P6_3/mmc,3.9999997,-12.64128161,-1.533633926,0.0,True,3.701541106,0.8049,False,267.3322484,38.032,90685293541.718
mp-1014168,CsPbBr3,10,Cs1 Pb1 Br3,8.19814187,8.19814187,8.373861777,119.308238,119.308238,90.0,tet,I4/mcm,0.0,-3.533178795,-1.628735636,0.007483645,False,4.741253583,1.8178,True,406.1413352,17.687,7.34
mp-567681,CsPbBr3,20,Cs1 Pb1 Br3,4.60907397,9.84551805,16.95083421,90.0,90.0,90.0,ortho,Pnma,0.0,-3.540662441,-1.636219281,0.0,True,5.006763123,2.8808,False,769.2071757,11.602,5.511
mp-600089,CsPbBr3,5,Cs1 Pb1 Br3,5.94863632,5.94862291,5.94863323,89.99992044,90.00002976,90.00013908,cubic,Pm-3m,0.0,-3.515589419,-1.611146259,0.025073022,False,4.573928063,1.7819,True,210.4994913,18.482,7.962
mp-540839,CsPbI3,20,Cs1 Pb1 I3,4.84714164,10.65044663,18.03119927,90.0,90.0,90.0,ortho,Pnma,0.0,-3.101759242,-1.265076435,0.0,True,5.143480377,2.5181,False,930.8466583,9.811,4.607
mp-998307,CsPdBr3,5,Cs1 Pd1 Br3,5.278741728,5.279763407,5.280560992,90.01324861,90.01654079,89.9962693,cubic,Pm-3m,6e-07,-3.435474112,-1.237584005,0.001813842,False,5.404974606,0.0,False,147.1719039,33.583,17.108
mp-27381,CsSnI3,20,Cs1 Sn1 I3,4.78277107,10.59766711,17.96459847,90.0,90.0,90.0,ortho,Pnma,0.0,-3.076204436,-1.180136671,0.003249339,False,4.612588503,2.0632,False,910.5575124,9.875,4.784
mp-614013,CsSnI3,5,Cs1 Sn1 I3,6.286228,6.286228,6.286228,90.0,90.0,90.0,cubic,Pm-3m,0.0044224,-3.079453774,-1.18338601,0.0,True,4.226897499,0.45,True,248.4107501,15.373,7.428
mp-616378,CsSnI3,10,Cs1 Sn1 I3,6.36120441,8.66038717,8.66038717,90.0,90.0,90.0,tet,P4/mbm,0.0,-3.06760978,-1.171542016,0.011843994,False,4.40157525,0.5537,True,477.1049993,15.227,6.978
mp-8397,CsSrF3,5,Cs1 Sr1 F3,4.76324701,4.76324701,4.76324701,90.0,90.0,90.0,cubic,Pm-3m,0.0,-13.56568844,-3.642522589,0.019347564,False,4.264175877,6.1846,False,108.071035,39.37,20.108
mp-22962,CsTiBr3,10,Cs1 Ti1 Br3,7.6265278,7.626528711,6.53842333,90.00003531,90.00001716,119.9999323,hex_,P6_3/mmc,4.0000001,-4.453842156,-1.712830008,0.0,True,4.240053185,0.0,False,329.3500476,-10150034103.507,311781270.787
mp-567698,CsTiI3,10,Cs1 Ti1 I3,8.269419712,8.269491414,6.998565396,89.99713547,90.00471957,120.0791521,hex_,P6_3/mmc,4.0,-3.938046944,-1.264795148,0.009522494,False,4.50268296,0.0,False,414.1393996,-129574.182,-11016.218
mp-865424,CsUO3,5,Cs1 U1 O3,4.415419,4.415419,4.415419,90.0,90.0,90.0,cubic,Pm-3m,0.9998264,-8.625488812,-3.218684383,0.021469604,False,8.081229652,0.4571,False,86.08267743,129.135,70.632
mp-998414,CuAgF3,5,Cu1 Ag1 F3,4.008428,4.008428,4.008428,90.0,90.0,90.0,cubic,Pm-3m,0.7982092,-9.821512771,-1.506785417,0.034928862,False,5.888990141,0.0,False,64.40539697,86.522,21.339
